what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329132255784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329132263947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329132266481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329132286910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329132288288
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329132488081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329132653151
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329132663296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329132700775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329132700886
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329132713013
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329132795238
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329132825367
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329132825427
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329132847181
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329132848609
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329132848653
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1329133023151
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1329133024371
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1329133026226
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1329133026610
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1329133027064
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1329133027442
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1329133027658
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1329133027838
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1329133028232
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1329133028716
